Neightborhood (Community District),School Absenteeism (2013-14),Jail Incarceration (2011-16),High School Graduation (2015-19),Unhealthy Food Access (Ratio of Bodegas to Supermarkets in 2016)
Bronx: Belmont and East Tremont,37,12.4,65.9,37
Bronx: Fordham and University Heights,30,11.7,65.6,20
Bronx: Highbridge and Concourse,31,9.3,67.4,18
Bronx: Hunts Point and Longwood,36,13.4,63,20
Bronx: Kingsbridge Heights and Bedford,29,6.9,69.7,18
Bronx: Morris Park and Bronxdale,22,4,78.2,17
Bronx: Morrisania and Crotona,32,12.4,65.9,10
Bronx: Mott Haven and Melrose,31,13.4,63,25
Bronx: Parkchester and Soundview,29,6.7,73.3,13
Bronx: Riverdale and Fieldston,19,2.5,81.7,10
Bronx: Throgs Neck and Co-op City,21,2.2,84.4,7
Bronx: Williamsbridge and Baychester,30,5.9,79.7,8
Brooklyn: Bay Ridge and Dyker Heights,8,1.7,82.4,20
Brooklyn: Bedford Stuyvesant,31,11.3,83.6,
Brooklyn: Bensonhurst ,11,1.7,74.8,27
Brooklyn: Borough Park,10,1.5,77.8,18
Brooklyn: Brownsville,40,,76.8,15
Brooklyn: Bushwick,22,7.2,74.8,31
Brooklyn: Coney Island,25,4.1,82.5,21
Brooklyn: Crown Heights and Prospect Heights,28,9.5,84.6,25
Brooklyn: East Flatbush ,22,5.8,86.4,21
Brooklyn: East New York and Starrett City,30,10.2,81.1,13
Brooklyn: Flatbush and Midwood,17,3.8,84.9,21
Brooklyn: Flatlands and Canarsie,17,3.3,88.8,9
Brooklyn: Fort Greene and Brooklyn Heights,20,4.7,90.4,12
Brooklyn: Greenpoint and Williamsburg,19,2.8,84.1,25
Brooklyn: Park Slope and Carroll Gardens,10,2.3,93,12
Brooklyn: Sheepshead Bay,14,1.9,85.8,25
Brooklyn: South Crown Heights and Lefferts Gardens,22,6.4,87.4,21
Brooklyn: Sunset Park,9,3.1,62.3,
Manhattan: Central Harlem,28,13,82.6,11
Manhattan: Clinton and Chelsea,13,3.8,94.5,7
Manhattan: East Harlem,29,11.4,74.3,17
Manhattan: Financial District,4,1.2,96,6
Manhattan: Greenwich Village and Soho,6,1.2,96,7
Manhattan: Lower East Side and Chinatown,16,4.7,73.9,18
Manhattan: Midtown,10,3.8,94.5,11
Manhattan: Morningside Heights and Hamilton Heights,27,6.6,81.1,11
Manhattan: Stuyvesant Town and Turtle Bay,7,2,96.7,7
Manhattan: Upper East Side,7,0.8,97.7,5
Manhattan: Upper West Side,13,2.1,94.5,3
Manhattan: Washington Heights and Inwood,18,4.7,72.7,13
Queens: Bayside and Little Neck,5,1,87.6,5
Queens: Elmhurst and Corona,9,2.7,73.4,16
Queens: Flushing and Whitestone ,8,1.6,76.1,6
Queens: Hillcrest and Fresh Meadows,14,1.9,86.1,5
Queens: Jackson Heights,11,4,72.3,17
Queens: Jamaica and Hollis,22,7.8,81.6,20
Queens: Kew Gardens and Woodhaven,16,3.5,78.5,11
Queens: Long Island City and Astoria,16,3,86.9,10
Queens: Queens Village ,15,3.5,87.6,14
Queens: Rego Park and Forest Hills,8,1,92.7,5
Queens: Ridgewood and Maspeth ,15,2.5,85.2,15
Queens: Rockaway and Broad Channel,28,7.7,90.7,8
Queens: South Ozone Park and Howard Beach,16,3.7,78.3,8
Queens: Woodside and Sunnyside,9,1.9,84,16
Staten Island: South Beach and Willowbrook,15,2.4,88.4,7
Staten Island: St. George and Stapleton,26,6.5,84.5,28
Staten Island: Tottenville and Great Kills,13,1.6,93.3,4